date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega,note
2020-12-31,ARKK,2022-01-21,42.96,Put,0.50,1.50,1.00,0.6563,-0.02,0.00,-0.01,0.07,adj_from_45
2020-12-31,ARKK,2022-01-21,47.96,Put,0.00,1.50,0.75,0.5624,-0.02,0.00,-0.01,0.07,adj_from_50
2020-12-31,ARKK,2022-01-21,52.96,Put,0.25,1.70,0.98,0.5391,-0.03,0.00,-0.01,0.09,adj_from_55
2020-12-31,ARKK,2022-01-21,57.96,Put,0.05,5.00,2.53,0.6178,-0.06,0.00,-0.01,0.15,adj_from_60
2020-12-31,ARKK,2022-01-21,62.96,Put,2.30,2.75,2.53,0.5636,-0.06,0.00,-0.01,0.16,adj_from_65
2020-12-31,ARKK,2022-01-21,67.96,Put,3.00,3.50,3.25,0.5539,-0.08,0.00,-0.01,0.19,adj_from_70
2020-12-31,ARKK,2022-01-21,70.96,Put,3.60,4.10,3.85,0.5534,-0.09,0.00,-0.01,0.21,adj_from_73
2020-12-31,ARKK,2022-01-21,71.96,Put,3.80,4.20,4.00,0.5502,-0.09,0.00,-0.01,0.22,adj_from_74
2020-12-31,ARKK,2022-01-21,72.96,Put,3.90,4.30,4.10,0.5447,-0.10,0.00,-0.01,0.22,adj_from_75
2020-12-31,ARKK,2022-01-21,73.96,Put,4.20,4.50,4.35,0.5458,-0.10,0.00,-0.01,0.23,adj_from_76
2020-12-31,ARKK,2022-01-21,74.96,Put,4.40,4.80,4.60,0.5465,-0.11,0.00,-0.01,0.24,adj_from_77
2020-12-31,ARKK,2022-01-21,75.96,Put,4.60,5.00,4.80,0.5447,-0.11,0.00,-0.02,0.24,adj_from_78
2020-12-31,ARKK,2022-01-21,76.96,Put,5.00,6.20,5.60,0.5667,-0.12,0.00,-0.02,0.26,adj_from_79
2020-12-31,ARKK,2022-01-21,77.96,Put,5.20,6.30,5.75,0.5621,-0.12,0.00,-0.02,0.26,adj_from_80
2020-12-31,ARKK,2022-01-21,78.96,Put,5.40,6.00,5.70,0.5499,-0.13,0.00,-0.02,0.26,adj_from_81
2020-12-31,ARKK,2022-01-21,79.96,Put,5.60,6.00,5.80,0.5434,-0.13,0.00,-0.02,0.27,adj_from_82
