date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-07-15,ARKK,2022-01-21,42.96,Put,0.18,0.27,0.23,0.6693,-0.01,0.00,0.00,0.02
2021-07-15,ARKK,2022-01-21,47.96,Put,0.23,0.38,0.31,0.6304,-0.01,0.00,0.00,0.03
2021-07-15,ARKK,2022-01-21,52.96,Put,0.39,0.52,0.46,0.6066,-0.02,0.00,-0.01,0.04
2021-07-15,ARKK,2022-01-21,55,Put,0.45,0.59,0.52,0.5952,-0.02,0.00,-0.01,0.05
2021-07-15,ARKK,2022-01-21,57.96,Put,0.58,0.67,0.63,0.5787,-0.03,0.00,-0.01,0.05
2021-07-15,ARKK,2022-01-21,60,Put,0.67,0.79,0.73,0.5715,-0.03,0.00,-0.01,0.06
2021-07-15,ARKK,2022-01-21,62.96,Put,0.80,0.93,0.87,0.5556,-0.04,0.00,-0.01,0.07
2021-07-15,ARKK,2022-01-21,65,Put,0.91,1.04,0.98,0.5457,-0.04,0.00,-0.01,0.08
2021-07-15,ARKK,2022-01-21,67.96,Put,1.05,1.23,1.14,0.5300,-0.05,0.00,-0.01,0.09
2021-07-15,ARKK,2022-01-21,70.96,Put,1.24,1.42,1.33,0.5146,-0.06,0.00,-0.01,0.10
2021-07-15,ARKK,2022-01-21,71.96,Put,1.40,1.53,1.47,0.5157,-0.07,0.00,-0.01,0.11
2021-07-15,ARKK,2022-01-21,72.96,Put,1.50,1.57,1.54,0.5103,-0.07,0.00,-0.01,0.11
2021-07-15,ARKK,2022-01-21,73.96,Put,1.54,1.71,1.63,0.5064,-0.07,0.00,-0.01,0.12
2021-07-15,ARKK,2022-01-21,74.96,Put,1.66,1.79,1.73,0.5030,-0.08,0.00,-0.02,0.12
2021-07-15,ARKK,2022-01-21,75.96,Put,1.75,1.93,1.84,0.5005,-0.08,0.00,-0.02,0.13
2021-07-15,ARKK,2022-01-21,76.96,Put,1.86,1.96,1.91,0.4941,-0.09,0.00,-0.02,0.13
2021-07-15,ARKK,2022-01-21,77.96,Put,1.96,2.08,2.02,0.4906,-0.09,0.00,-0.02,0.14
2021-07-15,ARKK,2022-01-21,78.96,Put,2.09,2.20,2.15,0.4877,-0.10,0.00,-0.02,0.14
2021-07-15,ARKK,2022-01-21,79.96,Put,2.23,2.32,2.28,0.4849,-0.10,0.00,-0.02,0.15
2021-07-15,ARKK,2022-01-21,80.96,Put,2.35,2.50,2.43,0.4830,-0.11,0.00,-0.02,0.15
2021-07-15,ARKK,2022-01-21,81.96,Put,2.49,2.63,2.56,0.4797,-0.11,0.00,-0.02,0.16
