Date,Symbol,Expiration,Strike,Call/Put,Bid,Ask,Mid,IV,Delta,Gamma,Theta,Vega
2021-11-04,ARKK,2022-01-21,47.96,Put,0.01,0.09,0.05,0.8052,-0.01,0.00,-0.01,0.01
2021-11-04,ARKK,2022-01-21,52.96,Put,0.01,0.31,0.16,0.8399,-0.01,0.00,-0.02,0.01
2021-11-04,ARKK,2022-01-21,55,Put,0.02,1.01,0.515,0.9706,-0.02,0.00,-0.02,0.03
2021-11-04,ARKK,2022-01-21,57.96,Put,0.04,0.65,0.345,0.8523,-0.02,0.00,-0.01,0.02
2021-11-04,ARKK,2022-01-21,60,Put,0.06,0.15,0.105,0.6851,-0.01,0.00,-0.01,0.02
2021-11-04,ARKK,2022-01-21,62.96,Put,0.10,0.35,0.225,0.7172,-0.03,0.00,-0.01,0.04
2021-11-04,ARKK,2022-01-21,65,Put,0.13,0.25,0.19,0.6692,-0.03,0.00,-0.01,0.04
2021-11-04,ARKK,2022-01-21,67.96,Put,0.15,1.13,0.64,0.7750,-0.03,0.00,-0.02,0.04
2021-11-04,ARKK,2022-01-21,70.96,Put,0.18,1.00,0.59,0.7149,-0.03,0.00,-0.02,0.04
2021-11-04,ARKK,2022-01-21,71.96,Put,0.19,0.60,0.395,0.6481,-0.02,0.00,-0.01,0.03
2021-11-04,ARKK,2022-01-21,72.96,Put,0.21,1.47,0.84,0.7368,-0.04,0.00,-0.02,0.05
2021-11-04,ARKK,2022-01-21,73.96,Put,0.24,0.60,0.42,0.6267,-0.03,0.00,-0.01,0.04
2021-11-04,ARKK,2022-01-21,74.96,Put,0.26,1.52,0.89,0.7141,-0.05,0.00,-0.03,0.06
2021-11-04,ARKK,2022-01-21,75.96,Put,0.27,0.75,0.51,0.6212,-0.03,0.00,-0.02,0.04
2021-11-04,ARKK,2022-01-21,76.96,Put,0.33,0.67,0.50,0.6047,-0.03,0.00,-0.02,0.04
2021-11-04,ARKK,2022-01-21,77.96,Put,0.33,1.58,0.955,0.6775,-0.05,0.00,-0.03,0.06
2021-11-04,ARKK,2022-01-21,78.96,Put,0.35,1.61,0.98,0.6668,-0.05,0.00,-0.03,0.06
2021-11-04,ARKK,2022-01-21,79.96,Put,0.37,1.64,1.005,0.6554,-0.06,0.00,-0.03,0.06
2021-11-04,ARKK,2022-01-21,80.96,Put,0.50,0.70,0.60,0.5704,-0.04,0.00,-0.02,0.05
2021-11-04,ARKK,2022-01-21,81.96,Put,0.44,0.85,0.645,0.5651,-0.04,0.00,-0.02,0.05
2021-11-04,ARKK,2022-01-21,82.96,Put,0.49,1.47,0.98,0.6065,-0.06,0.00,-0.03,0.07
2021-11-04,ARKK,2022-01-21,83.96,Put,0.50,1.79,1.145,0.6151,-0.07,0.00,-0.03,0.07
2021-11-04,ARKK,2022-01-21,84.96,Put,0.53,1.83,1.18,0.6047,-0.07,0.00,-0.03,0.08
2021-11-04,ARKK,2022-01-21,85.96,Put,0.68,0.79,0.735,0.5257,-0.05,0.00,-0.02,0.06
2021-11-04,ARKK,2022-01-21,86.96,Put,0.74,0.83,0.785,0.5200,-0.06,0.00,-0.02,0.06
2021-11-04,ARKK,2022-01-21,87.96,Put,0.78,0.89,0.835,0.5138,-0.06,0.00,-0.02,0.07
2021-11-04,ARKK,2022-01-21,88.96,Put,0.84,0.93,0.885,0.5072,-0.06,0.00,-0.02,0.07
2021-11-04,ARKK,2022-01-21,89.96,Put,0.90,0.99,0.945,0.5016,-0.07,0.00,-0.02,0.08
2021-11-04,ARKK,2022-01-21,90.96,Put,0.96,1.05,1.005,0.4956,-0.07,0.00,-0.03,0.08
2021-11-04,ARKK,2022-01-21,91.96,Put,1.03,1.11,1.07,0.4898,-0.08,0.01,-0.03,0.08
2021-11-04,ARKK,2022-01-21,92.96,Put,1.08,1.21,1.145,0.4847,-0.08,0.01,-0.03,0.09
2021-11-04,ARKK,2022-01-21,93.96,Put,1.13,1.27,1.20,0.4769,-0.09,0.01,-0.03,0.09
2021-11-04,ARKK,2022-01-21,94.96,Put,1.25,1.35,1.30,0.4739,-0.09,0.01,-0.03,0.10
2021-11-04,ARKK,2022-01-21,95.96,Put,1.33,1.44,1.385,0.4681,-0.10,0.01,-0.03,0.10
2021-11-04,ARKK,2022-01-21,96.96,Put,1.43,1.53,1.48,0.4631,-0.11,0.01,-0.03,0.10
2021-11-04,ARKK,2022-01-21,97.96,Put,1.47,1.63,1.55,0.4553,-0.11,0.01,-0.03,0.11
2021-11-04,ARKK,2022-01-21,98.96,Put,1.62,1.74,1.68,0.4525,-0.12,0.01,-0.03,0.11
2021-11-04,ARKK,2022-01-21,100,Put,1.74,1.85,1.795,0.4471,-0.13,0.01,-0.03,0.12
2021-11-04,ARKK,2022-01-21,102.96,Put,2.09,2.23,2.16,0.4317,-0.15,0.01,-0.04,0.14
2021-11-04,ARKK,2022-01-21,105,Put,2.41,2.55,2.48,0.4232,-0.17,0.01,-0.04,0.15
2021-11-04,ARKK,2022-01-21,107.96,Put,2.93,3.10,3.015,0.4109,-0.20,0.01,-0.04,0.16
2021-11-04,ARKK,2022-01-21,110,Put,3.30,3.50,3.40,0.4002,-0.23,0.01,-0.05,0.17
2021-11-04,ARKK,2022-01-21,112.96,Put,4.05,4.30,4.175,0.3919,-0.27,0.01,-0.05,0.19
2021-11-04,ARKK,2022-01-21,115,Put,4.65,4.85,4.75,0.3845,-0.30,0.02,-0.05,0.20
2021-11-04,ARKK,2022-01-21,117.96,Put,5.60,5.85,5.725,0.3753,-0.35,0.02,-0.05,0.21
2021-11-04,ARKK,2022-01-21,120,Put,6.40,6.60,6.50,0.3697,-0.39,0.02,-0.05,0.22
2021-11-04,ARKK,2022-01-21,122.96,Put,7.70,7.90,7.80,0.3637,-0.44,0.02,-0.05,0.23
2021-11-04,ARKK,2022-01-21,125,Put,8.65,9.00,8.825,0.3611,-0.48,0.02,-0.05,0.23
2021-11-04,ARKK,2022-01-21,127.96,Put,10.20,10.65,10.425,0.3562,-0.54,0.02,-0.05,0.23
2021-11-04,ARKK,2022-01-21,130,Put,11.45,11.85,11.65,0.3541,-0.58,0.02,-0.05,0.22
2021-11-04,ARKK,2022-01-21,132.96,Put,13.45,13.80,13.625,0.3543,-0.63,0.02,-0.05,0.21
