date,symbol,expiration,strike,call_put,bid,ask,mid,iv,delta,gamma,theta,vega
2021-10-14,ARKK,2022-01-21,47.96,Put,0.15,0.26,0.205,0.8034,-0.01,0.00,-0.01,0.02
2021-10-14,ARKK,2022-01-21,52.96,Put,0.21,0.36,0.285,0.7577,-0.02,0.00,-0.01,0.02
2021-10-14,ARKK,2022-01-21,55,Put,0.30,0.40,0.35,0.7496,-0.02,0.00,-0.01,0.03
2021-10-14,ARKK,2022-01-21,57.96,Put,0.30,0.51,0.405,0.7200,-0.02,0.00,-0.01,0.03
2021-10-14,ARKK,2022-01-21,60,Put,0.40,0.55,0.475,0.7082,-0.03,0.00,-0.01,0.04
2021-10-14,ARKK,2022-01-21,62.96,Put,0.49,0.53,0.51,0.6711,-0.03,0.00,-0.01,0.04
2021-10-14,ARKK,2022-01-21,65,Put,0.56,0.59,0.575,0.6555,-0.03,0.00,-0.01,0.04
2021-10-14,ARKK,2022-01-21,67.96,Put,0.65,0.70,0.675,0.6321,-0.04,0.00,-0.02,0.05
2021-10-14,ARKK,2022-01-21,70.96,Put,0.73,0.82,0.775,0.6060,-0.05,0.00,-0.02,0.06
2021-10-14,ARKK,2022-01-21,71.96,Put,0.76,0.87,0.815,0.5980,-0.05,0.00,-0.02,0.06
2021-10-14,ARKK,2022-01-21,72.96,Put,0.84,0.91,0.875,0.5931,-0.05,0.00,-0.02,0.06
2021-10-14,ARKK,2022-01-21,73.96,Put,0.89,0.96,0.925,0.5861,-0.05,0.00,-0.02,0.07
2021-10-14,ARKK,2022-01-21,74.96,Put,0.94,1.01,0.975,0.5787,-0.06,0.00,-0.02,0.07
2021-10-14,ARKK,2022-01-21,75.96,Put,0.98,1.06,1.02,0.5705,-0.06,0.00,-0.02,0.07
2021-10-14,ARKK,2022-01-21,76.96,Put,1.04,1.11,1.075,0.5633,-0.06,0.00,-0.02,0.08
2021-10-14,ARKK,2022-01-21,77.96,Put,1.10,1.17,1.135,0.5565,-0.07,0.00,-0.02,0.08
2021-10-14,ARKK,2022-01-21,78.96,Put,1.15,1.23,1.19,0.5487,-0.07,0.00,-0.02,0.08
2021-10-14,ARKK,2022-01-21,79.96,Put,1.22,1.30,1.26,0.5425,-0.08,0.00,-0.02,0.09
2021-10-14,ARKK,2022-01-21,80.96,Put,1.28,1.36,1.32,0.5347,-0.08,0.00,-0.02,0.09
2021-10-14,ARKK,2022-01-21,81.96,Put,1.34,1.43,1.385,0.5272,-0.08,0.00,-0.02,0.09
2021-10-14,ARKK,2022-01-21,82.96,Put,1.41,1.50,1.455,0.5200,-0.09,0.01,-0.03,0.10
2021-10-14,ARKK,2022-01-21,83.96,Put,1.48,1.57,1.525,0.5125,-0.09,0.01,-0.03,0.10
2021-10-14,ARKK,2022-01-21,84.96,Put,1.57,1.65,1.61,0.5061,-0.10,0.01,-0.03,0.10
2021-10-14,ARKK,2022-01-21,85.96,Put,1.65,1.74,1.695,0.4994,-0.10,0.01,-0.03,0.11
2021-10-14,ARKK,2022-01-21,86.96,Put,1.74,1.82,1.78,0.4923,-0.11,0.01,-0.03,0.11
2021-10-14,ARKK,2022-01-21,87.96,Put,1.85,1.91,1.88,0.4862,-0.12,0.01,-0.03,0.12
2021-10-14,ARKK,2022-01-21,88.96,Put,1.93,2.01,1.97,0.4789,-0.12,0.01,-0.03,0.12
2021-10-14,ARKK,2022-01-21,89.96,Put,2.03,2.11,2.07,0.4720,-0.13,0.01,-0.03,0.13
2021-10-14,ARKK,2022-01-21,90.96,Put,2.14,2.23,2.185,0.4660,-0.14,0.01,-0.03,0.13
2021-10-14,ARKK,2022-01-21,91.96,Put,2.26,2.34,2.30,0.4595,-0.14,0.01,-0.03,0.14
2021-10-14,ARKK,2022-01-21,92.96,Put,2.37,2.46,2.415,0.4526,-0.15,0.01,-0.03,0.14
2021-10-14,ARKK,2022-01-21,93.96,Put,2.50,2.60,2.55,0.4468,-0.16,0.01,-0.03,0.15
2021-10-14,ARKK,2022-01-21,94.96,Put,2.64,2.74,2.69,0.4408,-0.17,0.01,-0.03,0.15
2021-10-14,ARKK,2022-01-21,95.96,Put,2.79,2.88,2.835,0.4347,-0.18,0.01,-0.03,0.16
