Date,Symbol,Expiration,Call/Put,Strike,Bid,Ask,Mid,IV,Delta,Gamma,Theta,Vega
2022-05-04,ARKK,2022-07-16,Put,44,9.55,9.7,9.625,78.22%,-0.64,0.03,-0.03,0.06
2022-05-04,ARKK,2022-07-16,Put,45,10.3,10.45,10.375,77.96%,-0.67,0.03,-0.03,0.06
2022-05-04,ARKK,2022-07-16,Put,46,11.05,11.25,11.15,77.80%,-0.69,0.03,-0.03,0.05
2022-05-04,ARKK,2022-07-16,Put,47,11.8,12,11.9,76.81%,-0.72,0.03,-0.03,0.05
2022-05-04,ARKK,2022-07-16,Put,48,12.6,12.85,12.725,76.92%,-0.74,0.02,-0.03,0.05
2022-05-04,ARKK,2022-07-16,Put,49,13.5,13.65,13.575,77.27%,-0.75,0.02,-0.03,0.05
2022-05-04,ARKK,2022-07-16,Put,49.22,13.7,13.85,13.775,77.60%,-0.75,0.02,-0.03,0.05
2022-05-04,ARKK,2022-07-16,Put,50,14.35,14.5,14.425,77.37%,-0.77,0.02,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,51,15.2,15.4,15.3,77.79%,-0.78,0.02,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,52,16.1,16.3,16.2,78.60%,-0.79,0.02,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,53,17,17.2,17.1,79.26%,-0.8,0.02,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,54,17.9,18.05,17.975,79.12%,-0.81,0.01,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,54.22,18.1,18.3,18.2,79.93%,-0.81,0.01,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,55,18.8,19,18.9,80.15%,-0.82,0.01,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,56,19.7,19.95,19.825,81.10%,-0.82,0.01,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,57,20.7,20.9,20.8,83.44%,-0.82,0.01,-0.02,0.03
2022-05-04,ARKK,2022-07-16,Put,58,21.7,21.9,21.8,86.49%,-0.82,0.01,-0.02,0.04
2022-05-04,ARKK,2022-07-16,Put,59,22.6,22.8,22.7,86.63%,-0.82,0.01,-0.02,0.03
2022-05-04,ARKK,2022-07-16,Put,59.22,22.8,23,22.9,86.71%,-0.83,0.01,-0.02,0.03
2022-05-04,ARKK,2022-07-16,Put,64.22,27.65,27.85,27.75,97.70%,-0.81,0,-0.02,0.03
2022-05-04,ARKK,2022-07-16,Put,69.22,32.55,32.8,32.675,111.27%,-0.79,0,-0.03,0.03
2022-05-04,ARKK,2022-07-16,Put,74.22,37.5,37.75,37.625,125.81%,-0.77,0,-0.03,0.04
2022-05-04,ARKK,2022-07-16,Put,75,38.25,38.55,38.4,128.18%,-0.76,0,-0.03,0.04
2022-05-04,ARKK,2022-07-16,Put,76,39.05,39.55,39.3,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,77,40.3,40.55,40.425,135.25%,-0.75,0,-0.04,0.04
2022-05-04,ARKK,2022-07-16,Put,78,41.15,41.6,41.375,137.11%,-0.75,0,-0.03,0.04
2022-05-04,ARKK,2022-07-16,Put,79,42.15,42.5,42.325,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,79.22,42.45,42.65,42.55,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,80,43.05,43.5,43.275,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,81,44.15,44.5,44.325,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,82,45.2,45.5,45.35,0.00%,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,83,46.05,46.45,46.25,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,84,47.15,47.5,47.325,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,84.22,47.4,47.75,47.575,156.59%,-0.71,0,-0.01,0.04
2022-05-04,ARKK,2022-07-16,Put,85,48.1,48.55,48.325,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,89.22,52.45,52.7,52.575,172.67%,-0.68,0,0,0.04
2022-05-04,ARKK,2022-07-16,Put,94.22,57.45,57.85,57.65,190.54%,-0.65,0,-0.06,0.04
2022-05-04,ARKK,2022-07-16,Put,99.22,62.35,62.65,62.5,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,104.22,67.25,67.7,67.475,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,109.22,72.3,72.7,72.5,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,114.22,77.4,77.75,77.575,253.09%,-0.54,0,0,0.05
2022-05-04,ARKK,2022-07-16,Put,119.22,82.25,82.85,82.55,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,124.22,87.3,87.75,87.525,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,129.22,92.4,92.7,92.55,--,-1,0,0,0
2022-05-04,ARKK,2022-07-16,Put,134.22,97.4,97.75,97.575,317.42%,-0.44,0,-0.01,0.05
2022-05-04,ARKK,2022-07-16,Put,139.22,102.35,102.65,102.5,--,-1,0,0,0
