Date,Symbol,Expiration,Strike,Call/Put,Bid,Ask,Mid,IV,Delta,Gamma,Theta,Vega
2026-05-28,ARKK,2022-07-16,44,Put,9.55,9.70,9.625,78.22%,-0.64,0.03,-0.03,0.06
2026-05-28,ARKK,2022-07-16,45,Put,10.30,10.45,10.375,77.96%,-0.67,0.03,-0.03,0.06
2026-05-28,ARKK,2022-07-16,46,Put,11.05,11.25,11.150,77.80%,-0.69,0.03,-0.03,0.05
2026-05-28,ARKK,2022-07-16,47,Put,11.80,12.00,11.900,76.81%,-0.72,0.03,-0.03,0.05
2026-05-28,ARKK,2022-07-16,48,Put,12.60,12.85,12.725,76.92%,-0.74,0.02,-0.03,0.05
2026-05-28,ARKK,2022-07-16,49,Put,13.50,13.65,13.575,77.27%,-0.75,0.02,-0.03,0.05
2026-05-28,ARKK,2022-07-16,49.22,Put,13.70,13.85,13.775,77.60%,-0.75,0.02,-0.03,0.05
2026-05-28,ARKK,2022-07-16,50,Put,14.35,14.50,14.425,77.37%,-0.77,0.02,-0.02,0.04
2026-05-28,ARKK,2022-07-16,51,Put,15.20,15.40,15.300,77.79%,-0.78,0.02,-0.02,0.04
2026-05-28,ARKK,2022-07-16,52,Put,16.10,16.30,16.200,78.60%,-0.79,0.02,-0.02,0.04
2026-05-28,ARKK,2022-07-16,53,Put,17.00,17.20,17.100,79.26%,-0.80,0.02,-0.02,0.04
2026-05-28,ARKK,2022-07-16,54,Put,17.90,18.05,17.975,79.12%,-0.81,0.01,-0.02,0.04
2026-05-28,ARKK,2022-07-16,54.22,Put,18.10,18.30,18.200,79.93%,-0.81,0.01,-0.02,0.04
2026-05-28,ARKK,2022-07-16,55,Put,18.80,19.00,18.900,80.15%,-0.82,0.01,-0.02,0.04
2026-05-28,ARKK,2022-07-16,56,Put,19.70,19.95,19.825,81.10%,-0.82,0.01,-0.02,0.04
2026-05-28,ARKK,2022-07-16,57,Put,20.70,20.90,20.800,83.44%,-0.82,0.01,-0.02,0.03
2026-05-28,ARKK,2022-07-16,58,Put,21.70,21.90,21.800,86.49%,-0.82,0.01,-0.02,0.04
2026-05-28,ARKK,2022-07-16,59,Put,22.60,22.80,22.700,86.63%,-0.82,0.01,-0.02,0.03
2026-05-28,ARKK,2022-07-16,59.22,Put,22.80,23.00,22.900,86.71%,-0.83,0.01,-0.02,0.03
2026-05-28,ARKK,2022-07-16,64.22,Put,27.65,27.85,27.750,97.70%,-0.81,0.00,-0.02,0.03
2026-05-28,ARKK,2022-07-16,69.22,Put,32.55,32.80,32.675,111.27%,-0.79,0.00,-0.03,0.03
2026-05-28,ARKK,2022-07-16,74.22,Put,37.50,37.75,37.625,125.81%,-0.77,0.00,-0.03,0.04
2026-05-28,ARKK,2022-07-16,75,Put,38.25,38.55,38.400,128.18%,-0.76,0.00,-0.03,0.04
2026-05-28,ARKK,2022-07-16,76,Put,39.05,39.55,39.300,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,77,Put,40.30,40.55,40.425,135.25%,-0.75,0.00,-0.04,0.04
2026-05-28,ARKK,2022-07-16,78,Put,41.15,41.60,41.375,137.11%,-0.75,0.00,-0.03,0.04
2026-05-28,ARKK,2022-07-16,79,Put,42.15,42.50,42.325,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,79.22,Put,42.45,42.65,42.550,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,80,Put,43.05,43.50,43.275,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,81,Put,44.15,44.50,44.325,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,82,Put,45.20,45.50,45.350,0.00%,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,83,Put,46.05,46.45,46.250,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,84,Put,47.15,47.50,47.325,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,84.22,Put,47.40,47.75,47.575,156.59%,-0.71,0.00,-0.01,0.04
2026-05-28,ARKK,2022-07-16,85,Put,48.10,48.55,48.325,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,89.22,Put,52.45,52.70,52.575,172.67%,-0.68,0.00,0.00,0.04
2026-05-28,ARKK,2022-07-16,94.22,Put,57.45,57.85,57.650,190.54%,-0.65,0.00,-0.06,0.04
2026-05-28,ARKK,2022-07-16,99.22,Put,62.35,62.65,62.500,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,104.22,Put,67.25,67.70,67.475,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,109.22,Put,72.30,72.70,72.500,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,114.22,Put,77.40,77.75,77.575,253.09%,-0.54,0.00,0.00,0.05
2026-05-28,ARKK,2022-07-16,119.22,Put,82.25,82.85,82.550,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,124.22,Put,87.30,87.75,87.525,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,129.22,Put,92.40,92.70,92.550,--,-1.00,0.00,0.00,0.00
2026-05-28,ARKK,2022-07-16,134.22,Put,97.40,97.75,97.575,317.42%,-0.44,0.00,-0.01,0.05
2026-05-28,ARKK,2022-07-16,139.22,Put,102.35,102.65,102.500,--,-1.00,0.00,0.00,0.00
