date,arkk,position_value,cost_basis,cum_realized,net_pl,reserve,n_contracts,action
2020-10-15,102.83,18445.0,19530.0,0.0,-1085.0,80470.0,28,ENTRY
2020-10-22,98.58,19845.0,19530.0,0.0,315.0,80470.0,28,HOLD
2020-10-29,95.99,20335.0,19530.0,0.0,805.0,80470.0,28,HOLD
2020-11-05,100.82,15890.0,19530.0,0.0,-3640.0,80470.0,28,HOLD
2020-11-12,98.89,15505.0,19530.0,0.0,-4025.0,80470.0,28,HOLD
2020-11-19,103.26,13825.0,19530.0,0.0,-5705.0,80470.0,28,HOLD
2020-11-25,108.48,15660.0,19200.0,-8925.0,-12465.0,71875.0,26,ROLL
2020-12-03,114.28,18495.0,19260.0,-16055.0,-16820.0,64685.0,36,ROLL
2020-12-10,125.2,26010.0,19260.0,-16055.0,-9305.0,64685.0,36,HOLD
2020-12-17,126.07,19935.0,19260.0,-16055.0,-15380.0,64685.0,36,HOLD
2020-12-24,133.03,16155.0,19260.0,-16055.0,-19160.0,64685.0,36,HOLD
2020-12-31,124.49,18675.0,19260.0,-16055.0,-16640.0,64685.0,36,HOLD
2021-01-07,138.38,15840.0,19260.0,-16055.0,-19475.0,64685.0,36,HOLD
2021-01-14,145.28,16515.0,19260.0,-16055.0,-18800.0,64685.0,36,HOLD
2021-01-21,144.81,17550.0,19260.0,-16055.0,-17765.0,64685.0,36,HOLD
2021-01-28,140.37,17910.0,19260.0,-16055.0,-17405.0,64685.0,36,HOLD
2021-02-04,148.35,18285.0,19320.0,-29285.0,-30320.0,51395.0,31,ROLL
2021-02-14,156.58,30520.0,19320.0,-29285.0,-18085.0,51395.0,31,HOLD
2021-02-21,152.61,30520.0,19320.0,-29285.0,-18085.0,51395.0,31,HOLD
2021-02-28,130.36,33115.0,19320.0,-29285.0,-15490.0,51395.0,31,HOLD
2021-03-04,118.43,20640.0,9120.0,-17845.0,-6325.0,73035.0,15,PROFIT_TAKE_1
2021-03-11,128.68,16350.0,9120.0,-17845.0,-10615.0,73035.0,15,HOLD
2021-03-18,120.07,18945.0,9120.0,-17845.0,-8020.0,73035.0,15,HOLD
2021-03-25,114.42,18360.0,9120.0,-17845.0,-8605.0,73035.0,15,HOLD
2021-04-01,120.85,16365.0,11550.0,-17845.0,-13030.0,70605.0,17,RELOAD_PARTIAL
2021-04-08,124.14,18285.0,15140.0,-17845.0,-14700.0,67015.0,21,RELOAD_FULL
2021-04-15,126.62,15755.0,15140.0,-17845.0,-17230.0,67015.0,21,HOLD
2021-04-22,121.41,18045.0,15140.0,-17845.0,-14940.0,67015.0,21,HOLD
2021-04-29,121.76,16790.0,15140.0,-17845.0,-16195.0,67015.0,21,HOLD
2021-05-06,108.34,26560.0,15140.0,-17845.0,-6425.0,67015.0,21,HOLD
2021-05-13,99.48,32480.0,15140.0,-17845.0,-505.0,67015.0,21,HOLD
2021-05-20,106.59,32480.0,15140.0,-17845.0,-505.0,67015.0,21,HOLD
2021-05-27,112.28,18905.0,15140.0,-17845.0,-14080.0,67015.0,21,HOLD
2021-06-03,107.43,25255.0,15140.0,-17845.0,-7730.0,67015.0,21,HOLD
2021-06-10,114.97,16103.0,15140.0,-17845.0,-16882.0,67015.0,21,HOLD
2021-06-17,118.5,8185.0,8380.0,-17075.0,-17270.0,74545.0,21,CALENDAR_ROLL
2021-06-24,125.28,18050.0,8380.0,-17075.0,-7405.0,74545.0,21,HOLD
2021-07-01,129.16,16907.5,8380.0,-17075.0,-8547.5,74545.0,21,HOLD
2021-07-08,123.31,17357.5,7320.0,-15905.0,-5867.5,76775.0,19,BETWEEN_TRIM
2021-07-15,116.4,17080.0,6260.0,-14420.0,-3600.0,79320.0,17,BETWEEN_TRIM
2021-07-22,121.71,12412.5,5200.0,-13305.0,-6092.5,81495.0,15,BETWEEN_TRIM
2021-07-29,121.6,11797.5,5200.0,-13305.0,-6707.5,81495.0,15,HOLD
2021-08-05,125.57,10500.0,5200.0,-13305.0,-8005.0,81495.0,15,HOLD
2021-08-12,121.85,11450.0,5200.0,-13305.0,-7055.0,81495.0,15,HOLD
2021-08-19,113.85,11962.5,4140.0,-11805.0,-3982.5,84055.0,13,BETWEEN_TRIM
2021-08-26,119.16,9982.5,4140.0,-11805.0,-5962.5,84055.0,13,HOLD
2021-09-02,124.83,13727.5,9240.0,-11805.0,-7317.5,78955.0,19,RELOAD_PARTIAL
2021-09-09,121.71,14187.5,9240.0,-11805.0,-6857.5,78955.0,19,HOLD
2021-09-16,118.57,15567.5,9240.0,-11805.0,-5477.5,78955.0,19,HOLD
2021-09-23,119.34,14607.5,9240.0,-11805.0,-6437.5,78955.0,19,HOLD
2021-09-30,110.53,18449.0,9240.0,-11805.0,-2596.0,78955.0,19,HOLD
2021-10-07,112.6,17427.5,9240.0,-11805.0,-3617.5,78955.0,19,HOLD
2021-10-14,115.58,15365.0,9240.0,-11805.0,-5680.0,78955.0,19,HOLD
2021-10-21,119.66,18427.5,15160.0,-11805.0,-8537.5,73035.0,27,RELOAD_FULL
